Reaction,Annotation
rxn29122,  Carbohydrate metabolism
rxn03446,  Metabolism of cofactors and vitamins
rxn33043,  Amino acid metabolism
rxn15627,  Metabolism of terpenoids and polyketides
rxn33453,  Carbohydrate metabolism
rxn33568,  Metabolism of cofactors and vitamins
rxn32386,  Nucleotide metabolism
rxn15049,  Nucleotide metabolism
rxn24319,
rxn27110,  Amino acid metabolism
rxn15383,  Carbohydrate metabolism
rxn11987,
rxn30025,  Metabolism of cofactors and vitamins
rxn02622,  Carbohydrate metabolism
rxn04413,  Metabolism of cofactors and vitamins
rxn00102,  Energy metabolism
rxn28081,
rxn09470,  Metabolism of other amino acids
rxn33174,  Metabolism of terpenoids and polyketides
rxn15170,  Lipid metabolism
rxn00072,  Metabolism of cofactors and vitamins
rxn00044,
rxn36503,  Lipid metabolism
rxn12380,  Metabolism of cofactors and vitamins
rxn32981,  Nucleotide metabolism
rxn02204,  Metabolism of cofactors and vitamins
rxn10977,  Amino acid metabolism
rxn16485,
rxn02943,  Carbohydrate metabolism
rxn36077,
rxn02983,  Xenobiotics biodegradation and metabolism
rxn05071,  Metabolism of terpenoids and polyketides
rxn33404,
rxn31894,  Amino acid metabolism
rxn00342,  Amino acid metabolism
rxn27982,  Carbohydrate metabolism
rxn16221,
rxn00395,  Amino acid metabolism
rxn30189,  Nucleotide metabolism
rxn02125,  Xenobiotics biodegradation and metabolism
rxn27521,  Amino acid metabolism
rxn05508,
rxn36506,  Lipid metabolism
rxn16676,  Metabolism of terpenoids and polyketides
rxn15666,  Nucleotide metabolism
rxn10186,
rxn05308,  Lipid metabolism
rxn38143,  Metabolism of cofactors and vitamins
rxn04518,  Metabolism of terpenoids and polyketides
rxn05890,  Energy metabolism
rxn07177,  Xenobiotics biodegradation and metabolism
rxn00247,  Carbohydrate metabolism
rxn33340,  Nucleotide metabolism
rxn15935,  Metabolism of cofactors and vitamins
rxn25716,  Lipid metabolism
rxn16584,
rxn32002,  Xenobiotics biodegradation and metabolism
rxn03360,  Amino acid metabolism
rxn16314,  Metabolism of cofactors and vitamins
rxn19701,  Energy metabolism
rxn06375,  Lipid metabolism
rxn08188,  Metabolism of cofactors and vitamins
rxn32814,
rxn36659,  Lipid metabolism
rxn10834,
rxn15651,  Xenobiotics biodegradation and metabolism
rxn16443,
rxn31779,  Nucleotide metabolism
rxn04599,  Amino acid metabolism
rxn06472,  Metabolism of other amino acids
rxn15213,  Carbohydrate metabolism
rxn01217,  Nucleotide metabolism
rxn00672,  Carbohydrate metabolism
rxn19935,  Nucleotide metabolism
rxn08291,
rxn03669,  Xenobiotics biodegradation and metabolism
rxn01699,  Metabolism of cofactors and vitamins
rxn28382,  Biosynthesis of other secondary metabolites
rxn03455,  Xenobiotics biodegradation and metabolism
rxn03545,  Biosynthesis of other secondary metabolites
rxn16211,  Metabolism of other amino acids
rxn04719,  Xenobiotics biodegradation and metabolism
rxn16179,  Metabolism of terpenoids and polyketides
rxn11716,  Lipid metabolism
rxn00162,  Carbohydrate metabolism
rxn16280,  Xenobiotics biodegradation and metabolism
rxn16839,
rxn15826,  Metabolism of other amino acids
rxn20499,  Metabolism of cofactors and vitamins
rxn16403,
rxn38124,
rxn47869,
rxn07900,  Xenobiotics biodegradation and metabolism
rxn03957,  Metabolism of terpenoids and polyketides
rxn02286,
rxn04264,  Metabolism of terpenoids and polyketides
rxn38029,  Amino acid metabolism
rxn10097,  Energy metabolism
rxn04911,  Lipid metabolism
rxn19763,  Metabolism of cofactors and vitamins
rxn24063,  Metabolism of cofactors and vitamins
rxn05128,  Amino acid metabolism
rxn29990,
rxn35242,  Carbohydrate metabolism
rxn44034,
rxn20202,
rxn13659,
rxn00595,  Xenobiotics biodegradation and metabolism
rxn09018,  Metabolism of terpenoids and polyketides
rxn17468,  Lipid metabolism
rxn27728,  Amino acid metabolism
rxn16125,  Metabolism of terpenoids and polyketides
rxn17767,  Nucleotide metabolism
rxn16826,  Nucleotide metabolism
rxn00122,  Metabolism of cofactors and vitamins
rxn02618,  Lipid metabolism
rxn15018,  Nucleotide metabolism
rxn00415,  Amino acid metabolism
rxn39462,  Lipid metabolism
rxn00230,  Carbohydrate metabolism
rxn33222,  Nucleotide metabolism
rxn38181,  Metabolism of cofactors and vitamins
rxn02045,  Amino acid metabolism
rxn09615,  Xenobiotics biodegradation and metabolism
rxn48118,
rxn33837,
rxn42840,
rxn30019,  Amino acid metabolism
rxn15699,  Metabolism of cofactors and vitamins
rxn05203,  Nucleotide metabolism
rxn02284,  Carbohydrate metabolism
rxn29728,  Carbohydrate metabolism
rxn03534,  Metabolism of cofactors and vitamins
rxn32502,  Xenobiotics biodegradation and metabolism
rxn35425,  Xenobiotics biodegradation and metabolism
rxn03691,  Xenobiotics biodegradation and metabolism
rxn15604,  Lipid metabolism
EXpd00081,
rxn15934,  Metabolism of cofactors and vitamins
rxn03898,  Xenobiotics biodegradation and metabolism
rxn01416,  Energy metabolism
rxn48508,
rxn34491,
rxn29919,  Carbohydrate metabolism
