Reaction,Annotation
rxn08043, Amino acid metabolism
rxn16230, Metabolism of terpenoids and polyketides
rxn04911, Lipid metabolism
rxn08239,
rxn35429,
rxn08822,
rxn16839,
rxn17854, Lipid metabolism
rxn16511,
rxn15257, Carbohydrate metabolism
rxn30643,
rxn00228, Metabolism of other amino acids
rxn32917, Nucleotide metabolism
rxn10974, Metabolism of terpenoids and polyketides
rxn15206,
rxn09861, Xenobiotics biodegradation and metabolites
rxn00627, Carbohydrate metabolism
rxn00620, Lipid metabolism
rxn11156, Metabolism of cofactors and vitamins
rxn00337, Amino acid metabolism
rxn09460, Metabolism of other amino acids
rxn01461, Amino acid metabolism
peptidoglycan_rxn,
rxn00957, Xenobiotics biodegradation and metabolites
rxn02103, Nucleotide metabolism
rxn11838, Xenobiotics biodegradation and metabolites
rxn32750, Metabolism of cofactors and vitamins
rxn34731, Amino acid metabolism
rxn20665,
rxn00503, Amino acid metabolism
rxn07143, Metabolism of terpenoids and polyketides
rxn37640, Energy metabolism
rxn30972, Xenobiotics biodegradation and metabolites
rxn31364, Energy metabolism
rxn07682, Lipid metabolism
rxn16837, Metabolism of cofactors and vitamins
rxn03424, Amino acid metabolism
rxn15272, Energy metabolism
EXpd00119,
rxn16247, Xenobiotics biodegradation and metabolites
rxn06425,
rxn04012, Lipid metabolism
rxn16803, Xenobiotics biodegradation and metabolites
rxn01656, Metabolism of terpenoids and polyketides
rxn00292, Carbohydrate metabolism
rxn11210,
rxn01418, Amino acid metabolism
rxn15749, Amino acid metabolism
rxn44067,
rxn13741,
rxn02000, Biosynthesis of other secondary metabolites
rxn03587, Xenobiotics biodegradation and metabolites
rxn16314, Metabolism of cofactors and vitamins
rxn37807, Amino acid metabolism
rxn07490, Carbohydrate metabolism
rxn05241,
rxn15169, Lipid metabolism
rxn07455, Lipid metabolism
rxn33140, Lipid metabolism
rxn30324, Energy metabolism
rxn27997,
rxn21417, Biosynthesis of other secondary metabolites
rxn27685, Nucleotide metabolism
rxn03868, Xenobiotics biodegradation and metabolites
rxn33083, Amino acid metabolism
rxn01669, Metabolism of cofactors and vitamins
rxn07541, Xenobiotics biodegradation and metabolites
rxn03343, Amino acid metabolism
rxn32084, Amino acid metabolism
rxn15108, Carbohydrate metabolism
rxn38274, Metabolism of cofactors and vitamins
EXpd00528,
rxn28184, Amino acid metabolism
rxn08659, Carbohydrate metabolism
rxn03537, Metabolism of cofactors and vitamins
rxn36504, Lipid metabolism
rxn16612, Glycan biosynthesis and metabolism
rxn08706, Metabolism of cofactors and vitamins
rxn15529,
rxn02663, Xenobiotics biodegradation and metabolites
rxn14359,
rxn00495, Amino acid metabolism
EXpd01281,
rxn15449,
rxn00586, Xenobiotics biodegradation and metabolites
rxn34212, Amino acid metabolism
rxn30384, Carbohydrate metabolism
rxn00245, Carbohydrate metabolism
rxn23797, Metabolism of cofactors and vitamins
rxn16760, Metabolism of terpenoids and polyketides
rxn38130, Amino acid metabolism
rxn33281,
rxn09443, Lipid metabolism
rxn00133, Nucleotide metabolism
rxn37816, Xenobiotics biodegradation and metabolites
rxn35439,
rxn03057, Amino acid metabolism
rxn08747, Metabolism of terpenoids and polyketides
rxn26073, Glycan biosynthesis and metabolism
rxn11765, Xenobiotics biodegradation and metabolites
rxn07725, Lipid metabolism
rxn02477, Metabolism of cofactors and vitamins
rxn00621, Lipid metabolism
rxn10281, Energy metabolism
rxn31792, Amino acid metabolism
rxn15662, Carbohydrate metabolism
rxn04312, Metabolism of terpenoids and polyketides
rxn00993, Amino acid metabolism
rxn38069, Carbohydrate metabolism
rxn02385, Lipid metabolism
rxn03845, Xenobiotics biodegradation and metabolites
rxn15296, Carbohydrate metabolism
rxn06044, Amino acid metabolism
rxn01027, Nucleotide metabolism
rxn32053, Amino acid metabolism
rxn31538, Metabolism of cofactors and vitamins
rxn08100, Carbohydrate metabolism
rxn03286, Lipid metabolism
rxn16021, Xenobiotics biodegradation and metabolites
rxn14322, Lipid metabolism
rxn10059, Energy metabolism
rxn15745, Carbohydrate metabolism
rxn04663, Xenobiotics biodegradation and metabolites
rxn27936, Amino acid metabolism
rxn04841, Lipid metabolism
rxn01859, Nucleotide metabolism
rxn03426, Amino acid metabolism
rxn20057,
EXpd01242,
rxn35211, Amino acid metabolism
EXpd00001,
rxn16159, Metabolism of terpenoids and polyketides
rxn16084, Xenobiotics biodegradation and metabolites
rxn32195, Amino acid metabolism
rxn14077, Amino acid metabolism
rxn09697, Xenobiotics biodegradation and metabolites
rxn01045, Amino acid metabolism
rxn13893, Amino acid metabolism
rxn10179, Metabolism of terpenoids and polyketides
rxn11775,
rxn38484, Lipid metabolism
rxn06723, Glycan biosynthesis and metabolism
rxn31366, Energy metabolism
rxn10571, Metabolism of cofactors and vitamins
rxn31773, Amino acid metabolism
rxn30743,
EXpd00322,
rxn32776, Metabolism of cofactors and vitamins
rxn20161,
rxn03666, Xenobiotics biodegradation and metabolites
rxn08608, Carbohydrate metabolism
rxn05104, Amino acid metabolism
rxn01193, Xenobiotics biodegradation and metabolites
rxn38142, Amino acid metabolism
rxn35214, Carbohydrate metabolism
rxn32196, Carbohydrate metabolism
rxn14216,
rxn15536,
rxn14319, Lipid metabolism
rxn04674, Metabolism of cofactors and vitamins
rxn01034, Xenobiotics biodegradation and metabolites
rxn00949, Energy metabolism
rxn03742, Xenobiotics biodegradation and metabolites
rxn01462, Amino acid metabolism
rxn01419, Amino acid metabolism
rxn06418,
rxn22005,
rxn00010, Carbohydrate metabolism
rxn02346, Carbohydrate metabolism
rxn41888,
rxn15469, Lipid metabolism
rxn01631, Amino acid metabolism
rxn27785, Carbohydrate metabolism
rxn38280, Metabolism of cofactors and vitamins
rxn13231, Xenobiotics biodegradation and metabolites
rxn03669, Xenobiotics biodegradation and metabolites
rxn19763, Metabolism of cofactors and vitamins
rxn01234, Metabolism of other amino acids
rxn00987, Metabolism of cofactors and vitamins
rxn00479, Amino acid metabolism
rxn01022, Amino acid metabolism
rxn34053, Carbohydrate metabolism
rxn04475, Metabolism of terpenoids and polyketides
rxn33398, Lipid metabolism
rxn24344,
rxn00510, Amino acid metabolism
rxn40789,
rxn15878,
rxn08229,
rxn01454,
rxn05168, Nucleotide metabolism
rxn03934, Xenobiotics biodegradation and metabolites
rxn31452, Amino acid metabolism
rxn16055, Metabolism of terpenoids and polyketides
rxn31329, Amino acid metabolism
rxn01673, Nucleotide metabolism
rxn07847, Energy metabolism
rxn20630, Amino acid metabolism
rxn07747, Biosynthesis of other secondary metabolites
rxn34710, Lipid metabolism
rxn04739, Xenobiotics biodegradation and metabolites
rxn12059,
rxn14059, Biosynthesis of other secondary metabolites
rxn03644, Energy metabolism
rxn08551,
rxn02400, Metabolism of cofactors and vitamins
rxn31786,
rxn16804, Xenobiotics biodegradation and metabolites
rxn05048,
rxn33016, Metabolism of cofactors and vitamins
rxn09228, Metabolism of other amino acids
rxn01369,
rxn03727, Xenobiotics biodegradation and metabolites
rxn20202,
rxn30763, Xenobiotics biodegradation and metabolites
rxn03620, Xenobiotics biodegradation and metabolites
rxn02533,
rxn05220, Nucleotide metabolism
rxn34775, Lipid metabolism
rxn15784, Metabolism of cofactors and vitamins
rxn15724,
rxn01578, Amino acid metabolism
rxn33664, Xenobiotics biodegradation and metabolites
rxn32932, Amino acid metabolism
rxn31777, Lipid metabolism
rxn04745, Xenobiotics biodegradation and metabolites
rxn16226, Metabolism of terpenoids and polyketides
rxn16125, Metabolism of terpenoids and polyketides
rxn11756, Xenobiotics biodegradation and metabolites
rxn13927, Biosynthesis of other secondary metabolites
EXpd00132,
rxn38909, Amino acid metabolism
rxn15865, Biosynthesis of other secondary metabolites
rxn03038, Amino acid metabolism
rxn07647, Metabolism of terpenoids and polyketides
rxn06224, Carbohydrate metabolism
rxn04010,
rxn16331, Metabolism of cofactors and vitamins
rxn07475, Carbohydrate metabolism
rxn32228, Metabolism of cofactors and vitamins
rxn37999,
rxn31997, Nucleotide metabolism
rxn03362, Amino acid metabolism
rxn03550, Xenobiotics biodegradation and metabolites
rxn01654, Metabolism of cofactors and vitamins
rxn01884, Xenobiotics biodegradation and metabolites
rxn02439, Carbohydrate metabolism
rxn33062,
rxn27889, Metabolism of other amino acids
rxn15315, Lipid metabolism
rxn02345, Lipid metabolism
rxn29888, Carbohydrate metabolism
rxn00369, Nucleotide metabolism
rxn31255, Lipid metabolism
rxn17099, Xenobiotics biodegradation and metabolites
rxn07678, Lipid metabolism
rxn02204, Metabolism of cofactors and vitamins
rxn19855, Amino acid metabolism
rxn23129,
rxn05165, Nucleotide metabolism
rxn04139, Metabolism of cofactors and vitamins
rxn14136, Metabolism of terpenoids and polyketides
rxn03841, Metabolism of cofactors and vitamins
rxn01841, Amino acid metabolism
rxn33043, Amino acid metabolism
rxn37686, Lipid metabolism
rxn15949, Amino acid metabolism
rxn35318,
rxn33377, Lipid metabolism
rxn08170, Metabolism of cofactors and vitamins
rxn04894, Xenobiotics biodegradation and metabolites
rxn04896, Xenobiotics biodegradation and metabolites
rxn34257,
rxn02969, Xenobiotics biodegradation and metabolites
rxn05894, Energy metabolism
rxn09471, Metabolism of other amino acids
rxn30734, Amino acid metabolism
rxn16221,
rxn27779, Carbohydrate metabolism
rxn05105, Amino acid metabolism
rxn04873, Xenobiotics biodegradation and metabolites
rxn33120, Carbohydrate metabolism
rxn31241, Metabolism of cofactors and vitamins
rxn22985, Amino acid metabolism
rxn02176, Metabolism of cofactors and vitamins
rxn08617, Carbohydrate metabolism
rxn35629,
rxn03445, Metabolism of cofactors and vitamins
rxn33837,
rxn00339,
rxn03408, Glycan biosynthesis and metabolism
rxn27686, Nucleotide metabolism
rxn34248, Metabolism of other amino acids
rxn08021,
rxn16354, Xenobiotics biodegradation and metabolites
rxn30366, Carbohydrate metabolism
rxn03536, Metabolism of cofactors and vitamins
rxn03446, Metabolism of cofactors and vitamins
rxn04521, Metabolism of terpenoids and polyketides
rxn05232, Nucleotide metabolism
rxn03649, Xenobiotics biodegradation and metabolites
rxn15652, Xenobiotics biodegradation and metabolites
rxn38835, Carbohydrate metabolism
rxn03555, Xenobiotics biodegradation and metabolites
EXpd00254,
rxn11162,
rxn28376, Nucleotide metabolism
rxn08204,
rxn38148, Carbohydrate metabolism
rxn04095, Xenobiotics biodegradation and metabolites
rxn00929, Amino acid metabolism
rxn04673, Metabolism of cofactors and vitamins
rxn30378, Metabolism of other amino acids
rxn28646, Lipid metabolism
rxn37906, Metabolism of other amino acids
rxn14270, Metabolism of cofactors and vitamins
rxn00159, Carbohydrate metabolism
rxn04074, Xenobiotics biodegradation and metabolites
rxn15354, Carbohydrate metabolism
rxn37694, Metabolism of cofactors and vitamins
rxn38972,
rxn35351, Amino acid metabolism
rxn35281,
rxn32749, Metabolism of terpenoids and polyketides
rxn01107, Carbohydrate metabolism
rxn16443,
rxn08610, Carbohydrate metabolism
rxn15053, Lipid metabolism
rxn08458,
rxn06907, Xenobiotics biodegradation and metabolites
rxn13947, Glycan biosynthesis and metabolism
rxn06025, Metabolism of other amino acids
rxn43341,
rxn38070, Amino acid metabolism
rxn13698,
rxn15629, Metabolism of terpenoids and polyketides
rxn24055, Metabolism of terpenoids and polyketides
rxn28804,
EX_biomass,
rxn32287, Nucleotide metabolism
rxn16734, Metabolism of terpenoids and polyketides
rxn01931,
rxn16641, Amino acid metabolism
rxn00472,
rxn01404, Metabolism of other amino acids
rxn03140, Glycan biosynthesis and metabolism
rxn05029, Metabolism of cofactors and vitamins
rxn08290,
rxn02401, Metabolism of cofactors and vitamins
rxn11768, Xenobiotics biodegradation and metabolites
rxn28081,
rxn16614, Glycan biosynthesis and metabolism
rxn46323,
rxn32450, Metabolism of terpenoids and polyketides
rxn30432, Lipid metabolism
rxn32015, Energy metabolism
rxn08267,
rxn26471, Metabolism of terpenoids and polyketides
rxn16207, Metabolism of other amino acids
rxn29112, Nucleotide metabolism
rxn41598,
rxn25046, Carbohydrate metabolism
rxn16536,
rxn06043, Lipid metabolism
rxn02851, Metabolism of terpenoids and polyketides
rxn31478, Glycan biosynthesis and metabolism
rxn46208,
rxn03419, Metabolism of cofactors and vitamins
rxn07627, Xenobiotics biodegradation and metabolites
rxn00196, Carbohydrate metabolism
rxn27845, Metabolism of terpenoids and polyketides
rxn07880,
rxn15226, Carbohydrate metabolism
rxn11714, Lipid metabolism
rxn04349, Metabolism of terpenoids and polyketides
rxn07350, Metabolism of terpenoids and polyketides
rxn03668, Xenobiotics biodegradation and metabolites
rxn05145, Nucleotide metabolism
rxn37685, Metabolism of terpenoids and polyketides
rxn34727, Lipid metabolism
rxn04703, Carbohydrate metabolism
rxn05573,
rxn16697, Metabolism of terpenoids and polyketides
rxn06929, Metabolism of terpenoids and polyketides
rxn15651, Xenobiotics biodegradation and metabolites
rxn02260,
rxn00032, Amino acid metabolism
rxn31383,
rxn33573, Nucleotide metabolism
rxn01192, Xenobiotics biodegradation and metabolites
rxn20617, Amino acid metabolism
rxn16054, Metabolism of terpenoids and polyketides
rxn24034, Metabolism of other amino acids
rxn02483, Xenobiotics biodegradation and metabolites
rxn02415, Biosynthesis of other secondary metabolites
rxn05527,
rxn33374,
rxn04999, Amino acid metabolism
rxn19825, Amino acid metabolism
rxn14278, Biosynthesis of other secondary metabolites
rxn30045, Amino acid metabolism
rxn19488,
rxn02541, Xenobiotics biodegradation and metabolites
rxn07884,
rxn19836, Amino acid metabolism
rxn14399,
rxn26394, Metabolism of other amino acids
rxn20638, Amino acid metabolism
rxn43048,
rxn34258,
rxn29122, Carbohydrate metabolism
rxn09459, Metabolism of other amino acids
rxn38492, Lipid metabolism
rxn15255, Carbohydrate metabolism
rxn03944,
rxn35670,
rxn05940, Carbohydrate metabolism
rxn09458, Metabolism of other amino acids
rxn35242, Carbohydrate metabolism
rxn04480, Metabolism of terpenoids and polyketides
rxn38082, Nucleotide metabolism
rxn34738, Lipid metabolism
rxn04600, Amino acid metabolism
rxn04746, Xenobiotics biodegradation and metabolites
rxn07580, Metabolism of cofactors and vitamins
rxn00309, Biosynthesis of other secondary metabolites
rxn09345, Metabolism of terpenoids and polyketides
rxn34671, Amino acid metabolism
rxn10175,
rxn32376, Metabolism of terpenoids and polyketides
rxn11834, Xenobiotics biodegradation and metabolites
rxn30338, Carbohydrate metabolism
rxn07628, Xenobiotics biodegradation and metabolites
rxn03724, Xenobiotics biodegradation and metabolites
rxn03615, Biosynthesis of other secondary metabolites
rxn03790, Xenobiotics biodegradation and metabolites
rxn48197,
rxn07358, Metabolism of terpenoids and polyketides
rxn11656, Xenobiotics biodegradation and metabolites
rxn19210, Amino acid metabolism
rxn08214,
rxn16617, Amino acid metabolism
rxn31397, Xenobiotics biodegradation and metabolites
rxn42899,
rxn04318, Metabolism of terpenoids and polyketides
rxn00741, Carbohydrate metabolism
rxn35428, Nucleotide metabolism
rxn08194,
rxn00321, Amino acid metabolism
rxn07181, Xenobiotics biodegradation and metabolites
rxn20480, Lipid metabolism
rxn33134, Amino acid metabolism
rxn14060, Metabolism of other amino acids
rxn02365, Amino acid metabolism
rxn04316, Metabolism of terpenoids and polyketides
rxn35415,
rxn15293, Carbohydrate metabolism
rxn01583, Lipid metabolism
rxn05117, Metabolism of cofactors and vitamins
rxn35448, Amino acid metabolism
rxn05744,
rxn38398, Metabolism of terpenoids and polyketides
rxn33497, Energy metabolism
rxn00524, Amino acid metabolism
rxn16829, Nucleotide metabolism
rxn02094, Carbohydrate metabolism
rxn07904, Xenobiotics biodegradation and metabolites
rxn08213,
rxn15186, Carbohydrate metabolism
rxn01437, Amino acid metabolism
rxn00331, Carbohydrate metabolism
rxn18585, Nucleotide metabolism
rxn33233,
rxn31973, Nucleotide metabolism
rxn23796, Metabolism of cofactors and vitamins
rxn31407, Lipid metabolism
rxn38811, Lipid metabolism
rxn04442, Metabolism of terpenoids and polyketides
rxn33618, Amino acid metabolism
rxn02366, Amino acid metabolism
rxn38341, Biosynthesis of other secondary metabolites
rxn02982, Xenobiotics biodegradation and metabolites
rxn30422, Metabolism of cofactors and vitamins
rxn30431, Nucleotide metabolism
rxn05563,
rxn01607, Metabolism of terpenoids and polyketides
rxn04134, Metabolism of terpenoids and polyketides
rxn07804, Xenobiotics biodegradation and metabolites
rxn34196, Metabolism of other amino acids
rxn14043, Metabolism of other amino acids
rxn01333, Carbohydrate metabolism
rxn07765, Biosynthesis of other secondary metabolites
rxn01685, Carbohydrate metabolism
rxn10144, Metabolism of cofactors and vitamins
rxn27841, Nucleotide metabolism
rxn03943,
rxn30256, Metabolism of cofactors and vitamins
rxn32490, Lipid metabolism
rxn01134, Carbohydrate metabolism
rxn28988,
rxn36715, Lipid metabolism
rxn12206,
rxn01157,
rxn38020, Nucleotide metabolism
rxn02212, Amino acid metabolism
rxn09147, Metabolism of cofactors and vitamins
rxn05560,
rxn30128,
rxn33349,
rxn14013,
rxn16223,
rxn34240, Carbohydrate metabolism
rxn15782, Metabolism of cofactors and vitamins
rxn12512, Metabolism of cofactors and vitamins
rxn33295, Biosynthesis of other secondary metabolites
rxn37968,
rxn32399, Amino acid metabolism
rxn04353, Metabolism of terpenoids and polyketides
rxn04502, Metabolism of terpenoids and polyketides
rxn05235, Nucleotide metabolism
rxn45009,
rxn02905, Lipid metabolism
rxn04840, Lipid metabolism
rxn03867, Xenobiotics biodegradation and metabolites
rxn28183, Amino acid metabolism
rxn24177, Xenobiotics biodegradation and metabolites
rxn01788, Metabolism of terpenoids and polyketides
rxn38153, Amino acid metabolism
rxn21210, Amino acid metabolism
rxn03598, Xenobiotics biodegradation and metabolites
rxn05011,
rxn35424, Amino acid metabolism
rxn27429,
EXpd00156,
rxn02266, Amino acid metabolism
rxn09128, Metabolism of cofactors and vitamins
rxn03085, Energy metabolism
rxn03095,
rxn00223,
rxn00712, Nucleotide metabolism
rxn05626,
rxn09733, Xenobiotics biodegradation and metabolites
rxn30752, Carbohydrate metabolism
rxn00295, Carbohydrate metabolism
EXpd00277,
rxn33182,
rxn16794, Nucleotide metabolism
rxn33174, Metabolism of terpenoids and polyketides
rxn03860, Xenobiotics biodegradation and metabolites
rxn21215, Amino acid metabolism
rxn03086, Amino acid metabolism
rxn16761, Metabolism of terpenoids and polyketides
rxn38829, Carbohydrate metabolism
rxn04313, Metabolism of terpenoids and polyketides
rxn02774, Metabolism of cofactors and vitamins
rxn01004, Amino acid metabolism
EXpd00069,
rxn07832, Xenobiotics biodegradation and metabolites
rxn03541, Metabolism of cofactors and vitamins
rxn27893, Amino acid metabolism
rxn30398, Amino acid metabolism
rxn16721, Xenobiotics biodegradation and metabolites
rxn32424,
rxn16845, Energy metabolism
rxn01121, Carbohydrate metabolism
rxn16142, Energy metabolism
rxn00348, Amino acid metabolism
rxn43849,
rxn01896, Xenobiotics biodegradation and metabolites
rxn32343, Metabolism of other amino acids
rxn00334, Carbohydrate metabolism
rxn16496, Metabolism of terpenoids and polyketides
teichoicacid_rxn,
rxn05126, Amino acid metabolism
rxn11965, Carbohydrate metabolism
rxn33299, Metabolism of cofactors and vitamins
rxn10211, Energy metabolism
rxn23650,
rxn03400, Amino acid metabolism
rxn03924, Metabolism of other amino acids
rxn31275, Lipid metabolism
rxn31365, Energy metabolism
rxn00336, Carbohydrate metabolism
rxn32901, Amino acid metabolism
rxn32234, Metabolism of other amino acids
rxn02281, Amino acid metabolism
rxn05562,
rxn32210, Carbohydrate metabolism
rxn24320,
rxn32798, Amino acid metabolism
rxn24142, Metabolism of cofactors and vitamins
rxn16368,
rxn41830,
rxn33346,
rxn36689, Lipid metabolism
rxn27334,
rxn14134, Amino acid metabolism
rxn01684,
rxn31272, Lipid metabolism
rxn33484, Carbohydrate metabolism
rxn34244, Carbohydrate metabolism
rxn00504, Amino acid metabolism
rxn31210, Amino acid metabolism
EXpd00235,
rxn33453, Carbohydrate metabolism
rxn27520, Metabolism of terpenoids and polyketides
rxn16329, Metabolism of terpenoids and polyketides
rxn11875, Xenobiotics biodegradation and metabolites
rxn01894, Xenobiotics biodegradation and metabolites
rxn07473, Carbohydrate metabolism
rxn02432, Carbohydrate metabolism
rxn01187, Carbohydrate metabolism
rxn00592, Xenobiotics biodegradation and metabolites
rxn11655, Xenobiotics biodegradation and metabolites
rxn03883, Carbohydrate metabolism
rxn31868, Lipid metabolism
rxn08431,
rxn02052, Metabolism of terpenoids and polyketides
rxn02446, Lipid metabolism
rxn04418,
rxn37337, Lipid metabolism
rxn03089, Xenobiotics biodegradation and metabolites
rxn12545, Metabolism of cofactors and vitamins
rxn04935, Amino acid metabolism
rxn38123,
rxn13999, Carbohydrate metabolism
rxn04160, Metabolism of cofactors and vitamins
rxn10834,
rxn41785,
rxn32378, Nucleotide metabolism
rxn27867, Metabolism of cofactors and vitamins
rxn03244, Lipid metabolism
rxn00416, Amino acid metabolism
rxn16341, Energy metabolism
rxn01331, Metabolism of cofactors and vitamins
rxn07523, Xenobiotics biodegradation and metabolites
rxn16581,
rxn06168,
rxn00537, Metabolism of other amino acids
rxn16143, Energy metabolism
rxn07370, Metabolism of terpenoids and polyketides
rxn32204, Nucleotide metabolism
rxn08084,
rxn38239, Nucleotide metabolism
rxn16683, Carbohydrate metabolism
rxn32844, Amino acid metabolism
rxn02796, Lipid metabolism
rxn14044, Carbohydrate metabolism
rxn31404, Xenobiotics biodegradation and metabolites
rxn06023, Metabolism of cofactors and vitamins
rxn01722, Metabolism of cofactors and vitamins
rxn15848, Biosynthesis of other secondary metabolites
rxn06600, Amino acid metabolism
rxn00742, Amino acid metabolism
rxn33256, Nucleotide metabolism
rxn11894, Metabolism of cofactors and vitamins
rxn01248, Metabolism of cofactors and vitamins
rxn01389, Carbohydrate metabolism
rxn28309, Metabolism of cofactors and vitamins
rxn15535, Carbohydrate metabolism
rxn14255,
rxn05217, Nucleotide metabolism
rxn15666, Nucleotide metabolism
rxn03272,
rxn11997, Metabolism of other amino acids
rxn12038, Xenobiotics biodegradation and metabolites
rxn16728, Metabolism of terpenoids and polyketides
rxn00910, Metabolism of cofactors and vitamins
rxn41988,
rxn38459, Carbohydrate metabolism
rxn32924,
rxn37675, Carbohydrate metabolism
rxn01035, Xenobiotics biodegradation and metabolites
rxn31328,
rxn31885, Amino acid metabolism
EXpd00274,
rxn33404,
protein_rxn,
rxn03786, Xenobiotics biodegradation and metabolites
rxn05160, Nucleotide metabolism
rxn01245,
rxn26078, Amino acid metabolism
rxn01153,
rxn38399, Lipid metabolism
rxn03431,
rxn09037, Metabolism of terpenoids and polyketides
rxn13995, Biosynthesis of other secondary metabolites
rxn06562, Lipid metabolism
EXpd00180,
rxn30000, Energy metabolism
rxn32752,
rxn02440, Carbohydrate metabolism
rxn15699, Metabolism of cofactors and vitamins
rxn35433, Nucleotide metabolism
rxn16224, Metabolism of terpenoids and polyketides
rxn24109, Metabolism of cofactors and vitamins
rxn11713, Lipid metabolism
rxn47401,
rxn31088,
rxn07746, Biosynthesis of other secondary metabolites
rxn01705, Nucleotide metabolism
rxn00015, Biosynthesis of other secondary metabolites
rxn38244, Nucleotide metabolism
rxn33259, Carbohydrate metabolism
rxn30135, Amino acid metabolism
rxn12146, Carbohydrate metabolism
rxn08160, Metabolism of cofactors and vitamins
rxn04323, Metabolism of terpenoids and polyketides
rxn03602, Xenobiotics biodegradation and metabolites
rxn04599, Amino acid metabolism
rxn11731, Amino acid metabolism
rxn08543,
rxn14028,
rxn03023, Carbohydrate metabolism
rxn03706, Xenobiotics biodegradation and metabolites
rxn27420,
rxn30731,
rxn19896, Amino acid metabolism
rxn06578, Carbohydrate metabolism
rxn33024,
rxn01994, Xenobiotics biodegradation and metabolites
rxn32987, Amino acid metabolism
rxn19004, Biosynthesis of other secondary metabolites
rxn03512, Metabolism of cofactors and vitamins
rxn04358, Metabolism of terpenoids and polyketides
rxn32194, Amino acid metabolism
rxn27938, Metabolism of terpenoids and polyketides
rxn04043,
rxn01390, Carbohydrate metabolism
rxn38106, Amino acid metabolism
rxn08535,
rxn19979, Biosynthesis of other secondary metabolites
rxn01501, Metabolism of terpenoids and polyketides
rxn32961, Amino acid metabolism
rxn12380, Metabolism of cofactors and vitamins
rxn28051,
rxn08797,
rxn02403, Amino acid metabolism
rxn01337, Lipid metabolism
rxn14248, Biosynthesis of other secondary metabolites
rxn31962, Xenobiotics biodegradation and metabolites
rxn16583,
rxn38509, Xenobiotics biodegradation and metabolites
rxn00830, Metabolism of terpenoids and polyketides
rxn32557, Amino acid metabolism
rxn04651, Carbohydrate metabolism
rxn16122, Metabolism of terpenoids and polyketides
rxn15696, Amino acid metabolism
rxn37809, Amino acid metabolism
rxn19878, Nucleotide metabolism
rxn03885, Carbohydrate metabolism
rxn27998, Carbohydrate metabolism
rxn33222, Nucleotide metabolism
rxn01416, Energy metabolism
rxn30908, Nucleotide metabolism
rxn33822, Carbohydrate metabolism
rxn19181, Amino acid metabolism
rxn15954, Carbohydrate metabolism
rxn05116, Metabolism of cofactors and vitamins
rxn32253,
rxn00358, Carbohydrate metabolism
rxn10030, Energy metabolism
rxn10213, Energy metabolism
rxn38718, Metabolism of cofactors and vitamins
rxn00762, Lipid metabolism
rxn01646, Metabolism of cofactors and vitamins
rxn08616,
rxn35284, Amino acid metabolism
rxn19892, Amino acid metabolism
rxn37797, Nucleotide metabolism
rxn03638, Carbohydrate metabolism
rxn01647, Metabolism of cofactors and vitamins
rxn02540, Xenobiotics biodegradation and metabolites
rxn00802, Amino acid metabolism
rxn33431, Metabolism of other amino acids
rxn04584, Biosynthesis of other secondary metabolites
rxn01332, Amino acid metabolism
rxn25749, Lipid metabolism
rxn36077,
rxn29965, Carbohydrate metabolism
rxn01606,
rxn00692, Amino acid metabolism
rxn03087, Amino acid metabolism
rxn09439, Lipid metabolism
rxn02286,
rxn06216, Lipid metabolism
rxn41952,
rxn03379, Metabolism of other amino acids
rxn38159, Carbohydrate metabolism
rxn01809, Lipid metabolism
rxn01039, Amino acid metabolism
rxn03766, Biosynthesis of other secondary metabolites
rxn31385,
rxn08295,
rxn03313, Lipid metabolism
rxn01196, Xenobiotics biodegradation and metabolites
rxn30666, Nucleotide metabolism
rxn30413, Nucleotide metabolism
rxn31919, Carbohydrate metabolism
rxn08433, Lipid metabolism
rxn27717, Amino acid metabolism
rxn29946,
rxn01973, Amino acid metabolism
rxn32706, Nucleotide metabolism
rxn26481, Lipid metabolism
rxn39948,
rxn08233,
EXpd00367,
rxn16317,
rxn28382, Biosynthesis of other secondary metabolites
rxn09063, Metabolism of cofactors and vitamins
rxn01173, Metabolism of other amino acids
rxn01710, Carbohydrate metabolism
rxn37933, Carbohydrate metabolism
rxn30665, Lipid metabolism
rxn40745,
rxn32740, Carbohydrate metabolism
rxn09102, Metabolism of cofactors and vitamins
rxn11995,
EXpd00971,
rxn03617, Xenobiotics biodegradation and metabolites
rxn05984, Amino acid metabolism
rxn30336, Lipid metabolism
rxn31312, Carbohydrate metabolism
rxn18925, Lipid metabolism
rxn16565,
rxn01037, Amino acid metabolism
rxn15942, Lipid metabolism
rxn17763, Amino acid metabolism
rxn14120, Metabolism of cofactors and vitamins
rxn06869,
rxn32025, Carbohydrate metabolism
rxn06694,
rxn00765, Lipid metabolism
rxn16632,
EXpd00106,
rxn31548,
rxn05918, Glycan biosynthesis and metabolism
rxn14057, Energy metabolism
rxn08293,
rxn04650, Xenobiotics biodegradation and metabolites
rxn09441, Lipid metabolism
rxn01057, Carbohydrate metabolism
rxn04875, Xenobiotics biodegradation and metabolites
rxn04288, Metabolism of terpenoids and polyketides
rxn00195, Carbohydrate metabolism
rxn00229, Carbohydrate metabolism
rxn05154, Nucleotide metabolism
rxn35247,
rxn00478, Amino acid metabolism
rxn06984, Xenobiotics biodegradation and metabolites
rxn07474, Carbohydrate metabolism
rxn00594, Xenobiotics biodegradation and metabolites
