Reaction,Annotation
rxn32898, Nucleotide metabolism
rxn00995,
rxn34231, Carbohydrate metabolism
rxn02084, Amino acid metabolism
rxn01640, Amino acid metabolism
rxn33213,
rxn14039, Metabolism of cofactors and vitamins
rxn15615, Metabolism of terpenoids and polyketides
rxn07587, Metabolism of cofactors and vitamins
rxn19774,
rxn22535, Carbohydrate metabolism
rxn29023,
rxn08212, Nucleotide metabolism
rxn27000, Amino acid metabolism
rxn34633, Amino acid metabolism
rxn09149, Metabolism of cofactors and vitamins
rxn26890, Xenobiotics biodegradation and metabolites
rxn29942, Nucleotide metabolism
rxn27109, Amino acid metabolism
rxn07602, Xenobiotics biodegradation and metabolites
rxn34716, Lipid metabolism
rxn19071, Nucleotide metabolism
rxn33097, Metabolism of cofactors and vitamins
rxn08754, Metabolism of terpenoids and polyketides
rxn15642, Xenobiotics biodegradation and metabolites
rxn10203, Energy metabolism
rxn03141, Glycan biosynthesis and metabolism
rxn05205, Nucleotide metabolism
rxn38059,
rxn07132, Metabolism of terpenoids and polyketides
rxn15636, Metabolism of terpenoids and polyketides
rxn04706, Amino acid metabolism
rxn31689,
rxn07763, Biosynthesis of other secondary metabolites
rxn16635, Metabolism of terpenoids and polyketides
rxn34523, Metabolism of cofactors and vitamins
rxn31917, Nucleotide metabolism
rxn38121, Amino acid metabolism
rxn31988, Amino acid metabolism
rxn00843, Energy metabolism
rxn05115, Nucleotide metabolism
rxn15075, Carbohydrate metabolism
rxn09692,
rxn00767,
rxn24334,
rxn13962, Amino acid metabolism
rxn03765, Biosynthesis of other secondary metabolites
rxn16168, Metabolism of terpenoids and polyketides
rxn15868, Metabolism of terpenoids and polyketides
rxn35527, Lipid metabolism
rxn38694, Metabolism of cofactors and vitamins
rxn01267, Amino acid metabolism
rxn07901, Xenobiotics biodegradation and metabolites
rxn33663, Nucleotide metabolism
rxn30580, Lipid metabolism
rxn01847, Carbohydrate metabolism
rxn02160, Amino acid metabolism
rxn01987, Carbohydrate metabolism
rxn02788, Xenobiotics biodegradation and metabolites
rxn02279, Carbohydrate metabolism
rxn09306,
rxn03358, Amino acid metabolism
rxn00921, Xenobiotics biodegradation and metabolites
rxn48118,
rxn31530, Metabolism of terpenoids and polyketides
rxn35549, Amino acid metabolism
rxn03611, Xenobiotics biodegradation and metabolites
rxn15325, Carbohydrate metabolism
rxn02118, Biosynthesis of other secondary metabolites
rxn03421, Metabolism of cofactors and vitamins
rxn33581, Carbohydrate metabolism
rxn31585, Amino acid metabolism
rxn00213, Carbohydrate metabolism
rxn31451, Lipid metabolism
rxn31584, Amino acid metabolism
rxn15414, Lipid metabolism
rxn16238, Energy metabolism
rxn32064, Metabolism of other amino acids
rxn32095, Nucleotide metabolism
rxn27379, Amino acid metabolism
rxn34672, Metabolism of other amino acids
rxn33327, Lipid metabolism
rxn41825,
rxn16742,
rxn15267, Carbohydrate metabolism
rxn32842,
rxn38507, Metabolism of cofactors and vitamins
rxn16684, Carbohydrate metabolism
rxn33707, Lipid metabolism
rxn33560, Biosynthesis of other secondary metabolites
rxn33063, Amino acid metabolism
rxn00891, Carbohydrate metabolism
rxn03455, Xenobiotics biodegradation and metabolites
rxn31264,
rxn00871, Carbohydrate metabolism
rxn09469, Metabolism of other amino acids
rxn03304, Lipid metabolism
rxn04718, Xenobiotics biodegradation and metabolites
rxn05638,
rxn01236, Carbohydrate metabolism
rxn04512, Metabolism of terpenoids and polyketides
rxn16862,
rxn19253, Amino acid metabolism
rxn27001,
rxn06860, Carbohydrate metabolism
rxn02981, Xenobiotics biodegradation and metabolites
rxn11654, Xenobiotics biodegradation and metabolites
rxn01830, Carbohydrate metabolism
rxn07740, Lipid metabolism
rxn32737, Xenobiotics biodegradation and metabolites
rxn47906,
rxn01751, Carbohydrate metabolism
rxn10477, Metabolism of cofactors and vitamins
rxn16800, Carbohydrate metabolism
rxn03344, Amino acid metabolism
rxn04750, Amino acid metabolism
rxn01423, Amino acid metabolism
rxn02552, Carbohydrate metabolism
rxn40038, Energy metabolism
rxn31326, Lipid metabolism
rxn07151, Biosynthesis of other secondary metabolites
rxn00610, Lipid metabolism
rxn01122, Carbohydrate metabolism
rxn01347,
rxn04833, Xenobiotics biodegradation and metabolites
rxn05123, Amino acid metabolism
rxn01912, Carbohydrate metabolism
rxn27933, Amino acid metabolism
rxn32389, Lipid metabolism
rxn17468, Lipid metabolism
rxn04274, Metabolism of terpenoids and polyketides
rxn16048, Carbohydrate metabolism
rxn02974, Carbohydrate metabolism
rxn20204,
rxn34737, Lipid metabolism
rxn03643, Carbohydrate metabolism
rxn03094,
rxn04082, Carbohydrate metabolism
rxn02808, Xenobiotics biodegradation and metabolites
rxn33736,
rxn20026,
rxn16762, Metabolism of terpenoids and polyketides
EXpd00130,
rxn02545, Xenobiotics biodegradation and metabolites
rxn03236,
rxn24576,
rxn07595, Xenobiotics biodegradation and metabolites
rxn11998, Lipid metabolism
rxn12363, Metabolism of cofactors and vitamins
rxn00587, Xenobiotics biodegradation and metabolites
rxn01346,
rxn01363, Amino acid metabolism
rxn04524, Metabolism of terpenoids and polyketides
rxn15627, Metabolism of terpenoids and polyketides
rxn01763, Carbohydrate metabolism
rxn01933, Xenobiotics biodegradation and metabolites
rxn01601, Metabolism of cofactors and vitamins
rxn31323, Lipid metabolism
rxn15220, Carbohydrate metabolism
rxn00297, Carbohydrate metabolism
rxn32226, Carbohydrate metabolism
rxn38263, Carbohydrate metabolism
rxn03756, Metabolism of terpenoids and polyketides
rxn03740, Xenobiotics biodegradation and metabolites
rxn16592,
rxn00908, Carbohydrate metabolism
rxn38234, Nucleotide metabolism
rxn07317, Lipid metabolism
rxn00744, Lipid metabolism
rxn09260,
rxn21214, Amino acid metabolism
rxn14108, Carbohydrate metabolism
rxn27818, Glycan biosynthesis and metabolism
rxn34262, Carbohydrate metabolism
rxn31946,
rxn15443, Lipid metabolism
rxn00787, Carbohydrate metabolism
rxn00152, Carbohydrate metabolism
rxn06890, Xenobiotics biodegradation and metabolites
rxn26484, Metabolism of terpenoids and polyketides
rxn05616,
rxn05676,
rxn39267,
