,Component 1,Component 2,Label,Classification
165,-2535.9578106450635,2173.092430538474,1596.253.sbml.csv,Vaginal Probiotic
166,-1230.1481327938197,3013.181870009595,1596.253.sbml.csv,Vaginal Probiotic
167,-175.14116622186796,3496.0316348017955,1596.253.sbml.csv,Vaginal Probiotic
168,-1777.566629355884,2859.953369697162,1596.253.sbml.csv,Vaginal Probiotic
169,-573.6708823746305,1581.3381225712435,1596.253.sbml.csv,Vaginal Probiotic
170,676.209429093378,1863.4771922119041,1596.253.sbml.csv,Vaginal Probiotic
171,-383.76229739235873,2255.1102412107366,1596.253.sbml.csv,Vaginal Probiotic
172,1154.2108424242674,646.9368999317832,1596.253.sbml.csv,Vaginal Probiotic
173,80.37216797690839,1268.2615434050297,1596.253.sbml.csv,Vaginal Probiotic
174,-1004.8011961642037,1232.0314754887993,1596.253.sbml.csv,Vaginal Probiotic
175,1114.0087821313612,2566.8151595795957,1596.253.sbml.csv,Vaginal Probiotic
176,-1872.1034725973989,1952.2246653909867,1596.253.sbml.csv,Vaginal Probiotic
177,-2266.0510723344187,825.4630792791504,1596.253.sbml.csv,Vaginal Probiotic
178,428.3419698657657,3651.192837248401,1596.253.sbml.csv,Vaginal Probiotic
179,-1605.8797626245687,1342.4293775761123,1596.253.sbml.csv,Vaginal Probiotic
180,-2362.0274144030127,1933.468891331134,1596.253.sbml.csv,Vaginal Probiotic
181,-1985.0401733145457,2589.101470384117,1596.253.sbml.csv,Vaginal Probiotic
182,-1623.9358383984427,2915.9791555866395,1596.253.sbml.csv,Vaginal Probiotic
183,-1051.1101841280847,2771.7501863979433,1596.253.sbml.csv,Vaginal Probiotic
184,190.65184243749476,3171.7855354524663,1596.253.sbml.csv,Vaginal Probiotic
185,1951.7742383810873,2617.2680949179085,1596.253.sbml.csv,Vaginal Probiotic
186,-1254.49854962773,1888.3189053206358,1596.253.sbml.csv,Vaginal Probiotic
187,385.3062027401969,3516.1591585007195,1596.253.sbml.csv,Vaginal Probiotic
188,-123.49842134242216,3183.854652180361,1596.253.sbml.csv,Vaginal Probiotic
189,-1144.0779290484163,1050.5151775884217,1596.253.sbml.csv,Vaginal Probiotic
190,-73.42275312619823,3414.747883979463,1596.253.sbml.csv,Vaginal Probiotic
