Reaction,Annotation
rxn14135,
rxn33181,Nucleotide
rxn16843,Energy
rxn27773,
rxn01524,Nucleotide
rxn00566,Amino acid
rxn11209,
rxn33316,Energy
rxn30508,
rxn00713,Nucleotide
rxn03915,Xenobiotics
rxn38467,Cofactors and vitamins
rxn06329,Cofactors and vitamins
rxn33838,
rxn00393,
rxn16512,Carbohydrate
rxn01377,Amino acid
rxn08968,Cofactors and vitamins
rxn03563,Xenobiotics
rxn04478,Terpenoids and polyketides
rxn00520,Carbohydrate
rxn00973,
rxn00356,Carbohydrate
rxn00134,Nucleotide
rxn10057,Energy
rxn04377,Lipid
rxn00417,
rxn03251,Lipid
rxn10978,Amino acid
rxn13281,
rxn27427,Carbohydrate
rxn46555,
rxn04795,Xenobiotics
rxn12212,
rxn16618,Amino acid
rxn00507,Carbohydrate
rxn09451,Lipid
rxn00897,Carbohydrate
rxn08854,
EXpd08023,
rxn34352,
rxn32767,
rxn08998,
rxn15503,
rxn37222,Cofactors and vitamins
rxn27428,Carbohydrate
rxn15539,
rxn39979,Xenobiotics
rxn01439,Carbohydrate
rxn38026,Cofactors and vitamins
rxn13989,Terpenoids and polyketides
rxn32996,Carbohydrate
rxn31753,Amino acid
rxn23648,
rxn11734,Amino acid
rxn05902,
rxn40611,
rxn08114,Carbohydrate
rxn01213,Terpenoids and polyketides
rxn15091,Amino acid
rxn01483,Carbohydrate
rxn16053,Terpenoids and polyketides
rxn36683,Lipid
rxn00022,Carbohydrate
rxn03034,Amino acid
rxn00901,
rxn11859,Energy
rxn30008,
rxn16045,Xenobiotics
rxn36681,Lipid
rxn03882,Xenobiotics
rxn01517,Nucleotide
rxn33446,Carbohydrate
rxn01746,Nucleotide
rxn04593,Secondary metabolites
rxn08068,Lipid
rxn00796,Nucleotide
rxn10052,Energy
rxn01151,
rxn47880,
rxn27670,Amino acid
rxn19730,Terpenoids and polyketides
rxn01006,Carbohydrate
rxn02083,Amino acid
rxn33603,Energy
rxn10056,Energy
rxn15831,Amino acid
rxn10897,Cofactors and vitamins
rxn13812,
rxn16129,Terpenoids and polyketides
rxn05109,Amino acid
rxn02431,Energy
rxn33629,Amino acid
rxn30071,Amino acid
rxn08434,Lipid
rxn01148,
rxn00991,
rxn28612,Amino acid
rxn14026,Lipid
rxn07487,Carbohydrate
rxn24064,Cofactors and vitamins
rxn05491,
rxn23441,Secondary metabolites
rxn05214,Nucleotide
rxn40743,
rxn00602,Amino acid
rxn03146,Glycan
rxn12933,
rxn09463,Amino acid
rxn00403,Amino acid
