Duration (Hours),A. lactolyticus SM,A. lactolyticus SM,A. lactolyticus SM,L. jensenii SM,L. jensenii SM,L. jensenii SM,C. bergeronii SM,C. bergeronii SM,C. bergeronii SM,A. marseille SM,A. marseille SM,A. marseille SM,E. massiliensis SM,E. massiliensis SM,E. massiliensis SM,A. tetradius SM,A. tetradius SM,A. tetradius SM,V. bacterium SM,V. bacterium SM,V. bacterium SM,P. vaginalis SM,P. vaginalis SM,P. vaginalis SM
3.17,0.031433333,0.058933333,0.015233333,0.0349,0.044,0.025,0.0162,0.0529,0.0089,0.031533333,0.041633333,0.013633333,0.027733333,0.049833333,0.005933333,0.035,0.0494,0.0237,0.028066667,0.033966667,0.004666667,0.040233333,0.049633333,-0.011666667
3.25,0.029733333,0.059333333,0.014033333,0.0361,0.0453,0.0261,0.018866667,0.053966667,0.010366667,0.0307,0.0424,0.0127,0.029,0.0518,0.0076,0.035466667,0.047566667,0.022466667,0.028,0.0342,0.0054,0.0394,0.0495,-0.0129
3.33,0.0294,0.0601,0.0135,0.036433333,0.045433333,0.023133333,0.019166667,0.052066667,0.009466667,0.029566667,0.041666667,0.012466667,0.028133333,0.051133333,0.007433333,0.0345,0.048,0.0233,0.026666667,0.035666667,0.008166667,0.039133333,0.049133333,-0.012066667
3.42,0.0312,0.0606,0.0128,0.038333333,0.046033333,0.020933333,0.018966667,0.051566667,0.005866667,0.028633333,0.039733333,0.009633333,0.0275,0.0534,0.008,0.035366667,0.045166667,0.023566667,0.026266667,0.035066667,0.006866667,0.039366667,0.049066667,-0.011533333
3.5,0.0342,0.063,0.0154,0.035066667,0.044266667,0.020966667,0.019,0.0536,0.0067,0.029933333,0.042433333,0.011533333,0.0284,0.0526,0.0095,0.034466667,0.046266667,0.023766667,0.023533333,0.034233333,0.005933333,0.0407,0.0494,-0.0102
3.58,0.0346,0.0635,0.0163,0.035666667,0.043666667,0.022266667,0.0148,0.0526,0.0073,0.0308,0.0433,0.0105,0.0296,0.0539,0.0103,0.034266667,0.046866667,0.022266667,0.024533333,0.033233333,0.004533333,0.039733333,0.048433333,-0.009866667
3.67,0.033266667,0.063766667,0.014466667,0.036,0.0449,0.0221,0.0179,0.0538,0.0082,0.031166667,0.042766667,0.012066667,0.026433333,0.054133333,0.008633333,0.033133333,0.045933333,0.021233333,0.0245,0.0327,0.0051,0.038033333,0.047333333,-0.009966667
3.75,0.032466667,0.063566667,0.015666667,0.036066667,0.045866667,0.022366667,0.018766667,0.054566667,0.009366667,0.029866667,0.041966667,0.013766667,0.028966667,0.054666667,0.010966667,0.032733333,0.045633333,0.022733333,0.024933333,0.032233333,0.004233333,0.038266667,0.047566667,-0.012433333
3.83,0.032833333,0.064333333,0.015233333,0.037066667,0.046766667,0.024266667,0.019333333,0.053033333,0.008033333,0.030733333,0.042433333,0.014933333,0.027566667,0.055166667,0.012266667,0.033466667,0.047066667,0.023866667,0.024633333,0.032133333,0.003333333,0.0379,0.0482,-0.0125
3.92,0.0308,0.0643,0.0151,0.037033333,0.046433333,0.025133333,0.018733333,0.053133333,0.007333333,0.030366667,0.042866667,0.014766667,0.0286,0.0547,0.0093,0.0336,0.0478,0.0251,0.026966667,0.032366667,0.001766667,0.0395,0.0488,-0.0124
