Component 1,Component 2,Label,Species,Classification
1372.442804,1767.016789,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3380.642074,631.4688213,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
2652.698894,1091.65368,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3195.039402,2465.20845,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3535.397156,567.3985458,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
2704.081499,2394.817572,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3181.184931,1120.050377,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3734.090467,1990.072491,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
4006.006992,119.8462843,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3423.029241,1062.170624,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3818.443384,330.6491072,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3360.188002,2256.232466,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
2926.27629,939.6705763,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
2892.106172,888.797005,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
1552.612202,1490.328406,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
2648.993236,2002.366564,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3840.873417,648.8417026,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
2896.283842,763.1942283,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
1534.006554,191.9441387,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3983.093208,1041.135586,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3893.99965,1043.986133,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3802.358548,-4.44468831,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3594.482838,751.7218597,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
3757.290287,2054.530257,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
