Duration (Hours),PGY (Modified) Media,PGY (Modified) Media,PGY (Modified) Media,A. christensenii SM,A. christensenii SM,A. christensenii SM,F. vaginae SM,F. vaginae SM,F. vaginae SM,A. tetradius SM,A. tetradius SM,A. tetradius SM,E. massiliensis SM,E. massiliensis SM,E. massiliensis SM,C. bergeronii SM,C. bergeronii SM,C. bergeronii SM,A. marseille SM,A. marseille SM,A. marseille SM,L. jensenii SM,L. jensenii SM,L. jensenii SM,A. lactolyticus SM,A. lactolyticus SM,A. lactolyticus SM,P. vaginalis SM,P. vaginalis SM,P. vaginalis SM,V. bacterium SM,V. bacterium SM,V. bacterium SM,M. curtisii SM,M. curtisii SM,M. curtisii SM
1.92,0.085966667,0.065266667,0.015566667,0.0446,0.0674,0.0238,0.046733333,0.052633333,0.029533333,0.035533333,0.049933333,0.016733333,0.0624,0.0702,0.0404,0.0252,0.0263,-0.0131,0.066133333,0.074233333,0.037533333,0.0397,0.0451,0.0047,0.058466667,0.059166667,0.035866667,0.0682,0.0824,0.0192,0.067033333,0.066133333,0.045333333,0.062033333,0.067533333,0.042633333
2,0.088666667,0.065566667,0.014866667,0.042966667,0.068166667,0.023466667,0.048,0.0508,0.0294,0.0318,0.0498,0.0174,0.065866667,0.074966667,0.044566667,0.026766667,0.028366667,-0.010433333,0.066833333,0.075133333,0.038933333,0.040533333,0.044133333,0.004633333,0.056733333,0.060633333,0.035533333,0.0714,0.0831,0.0257,0.068866667,0.067666667,0.047966667,0.066066667,0.069766667,0.044966667
2.08,0.089833333,0.065933333,0.017633333,0.0454,0.0687,0.0258,0.0476,0.0501,0.0282,0.0334,0.0449,0.0182,0.0696,0.0764,0.0497,0.025433333,0.026733333,-0.012066667,0.0698,0.0759,0.0404,0.038566667,0.042066667,0.004666667,0.0579,0.0616,0.0356,0.073833333,0.085033333,0.028933333,0.070033333,0.070433333,0.050433333,0.0698,0.0739,0.0467
2.17,0.0896,0.0678,0.019,0.0457,0.07,0.0253,0.047933333,0.051333333,0.029733333,0.033833333,0.046833333,0.019133333,0.072966667,0.082266667,0.055066667,0.0256,0.029,-0.0077,0.069866667,0.077366667,0.041766667,0.039233333,0.043933333,0.005433333,0.058666667,0.061666667,0.036966667,0.075333333,0.088033333,0.032833333,0.0715,0.0736,0.054,0.070833333,0.076133333,0.049133333
2.25,0.089566667,0.069066667,0.020666667,0.046466667,0.070866667,0.024766667,0.0459,0.0536,0.0292,0.0372,0.0488,0.0206,0.075566667,0.084366667,0.057466667,0.028033333,0.030533333,-0.006466667,0.071666667,0.079966667,0.044666667,0.038066667,0.045566667,0.004666667,0.059733333,0.064733333,0.040333333,0.077333333,0.090933333,0.035433333,0.073766667,0.075866667,0.057066667,0.073166667,0.078866667,0.053566667
2.33,0.091533333,0.073133333,0.025933333,0.047766667,0.072966667,0.027866667,0.0469,0.054,0.0292,0.0345,0.0496,0.0213,0.079633333,0.086733333,0.062133333,0.033166667,0.033566667,-0.003933333,0.0735,0.0819,0.0463,0.0373,0.0452,0.0019,0.057433333,0.064833333,0.040533333,0.078466667,0.092566667,0.037066667,0.0751,0.0766,0.0602,0.0728,0.0808,0.055
2.42,0.094633333,0.075733333,0.029633333,0.049,0.0749,0.0282,0.0462,0.0532,0.0274,0.036366667,0.050666667,0.021566667,0.0842,0.0914,0.0673,0.036533333,0.036633333,-0.001266667,0.073633333,0.084633333,0.049433333,0.036766667,0.043566667,0.001166667,0.058633333,0.066333333,0.041533333,0.081933333,0.096533333,0.039833333,0.077766667,0.079966667,0.062866667,0.074033333,0.081033333,0.054833333
2.5,0.095866667,0.077066667,0.030066667,0.0534,0.0775,0.0288,0.047566667,0.055366667,0.028566667,0.038233333,0.053733333,0.019733333,0.0893,0.0969,0.0714,0.039766667,0.039066667,0.001366667,0.075333333,0.085733333,0.052133333,0.036733333,0.044733333,0.001933333,0.062533333,0.067733333,0.044833333,0.0823,0.099,0.0426,0.0807,0.0815,0.0662,0.075266667,0.080666667,0.054966667
2.58,0.0959,0.0783,0.032,0.0554,0.0792,0.03,0.049066667,0.055466667,0.030866667,0.038566667,0.054966667,0.018566667,0.0933,0.1019,0.0758,0.0414,0.0398,0.0018,0.080533333,0.089633333,0.055533333,0.037066667,0.042766667,0.001766667,0.064133333,0.067433333,0.042933333,0.084666667,0.102566667,0.044466667,0.082333333,0.084433333,0.067033333,0.0778,0.0815,0.0589
2.67,0.0987,0.0804,0.0333,0.057033333,0.082633333,0.034333333,0.050466667,0.057366667,0.031366667,0.041133333,0.054933333,0.021533333,0.0955,0.1062,0.079,0.0444,0.0427,0.0052,0.082266667,0.090866667,0.056766667,0.0388,0.0445,0.0034,0.066666667,0.069166667,0.045166667,0.0877,0.1037,0.0458,0.084466667,0.086466667,0.067766667,0.077633333,0.083533333,0.060933333
2.75,0.101433333,0.082833333,0.036833333,0.0607,0.0844,0.0381,0.052166667,0.057566667,0.032666667,0.041833333,0.054233333,0.022433333,0.101566667,0.112166667,0.084866667,0.0461,0.0468,0.0085,0.084566667,0.093666667,0.059066667,0.038933333,0.042833333,0.003633333,0.067066667,0.069266667,0.044366667,0.090466667,0.107566667,0.051766667,0.087466667,0.089866667,0.069366667,0.080566667,0.086666667,0.063066667
