,Component 1,Component 2,Label,Classification
3810,-1254.7291036286872,1179.2575634050017,735.10.sbml.csv,Pathogen
3811,-2802.4603162300186,960.8511670372293,735.10.sbml.csv,Pathogen
3812,-447.651534956971,-1428.6094244110968,735.10.sbml.csv,Pathogen
3813,-2010.1192050023747,1022.1036158901445,735.10.sbml.csv,Pathogen
3814,-1148.7246527776617,-1691.5345541991096,735.10.sbml.csv,Pathogen
3815,-1400.6694670994186,1793.8864559081603,735.10.sbml.csv,Pathogen
3816,-1791.5413128025134,-238.99774303851473,735.10.sbml.csv,Pathogen
3817,-939.1948829754955,-930.1749662839517,735.10.sbml.csv,Pathogen
3818,-1235.22083167847,197.52148949338022,735.10.sbml.csv,Pathogen
3819,-2454.514312147444,1552.1306571301527,735.10.sbml.csv,Pathogen
3820,-1414.350904966569,167.1952786613607,735.10.sbml.csv,Pathogen
3821,-3760.0368398363667,939.68616326332,735.10.sbml.csv,Pathogen
3822,-1461.8693146132791,-544.7982454513236,735.10.sbml.csv,Pathogen
3823,-2150.4960095706347,2029.955774530116,735.10.sbml.csv,Pathogen
3824,-766.3475140764059,1391.0989100087227,735.10.sbml.csv,Pathogen
3825,-1719.3195294796667,1215.7731212887877,735.10.sbml.csv,Pathogen
3826,-1428.590331222644,967.4171370257129,735.10.sbml.csv,Pathogen
3827,-2660.4428928926004,1301.131870387315,735.10.sbml.csv,Pathogen
3828,-526.8938695410432,801.0570786572347,735.10.sbml.csv,Pathogen
3829,-46.98617802165088,-874.233409994632,735.10.sbml.csv,Pathogen
3830,-3857.1987956665957,961.0686400803066,735.10.sbml.csv,Pathogen
3831,-926.0759443715581,-1609.443072605293,735.10.sbml.csv,Pathogen
3832,-703.3562125251336,78.73794669831588,735.10.sbml.csv,Pathogen
3833,-1472.826204112977,-1007.8409286237153,735.10.sbml.csv,Pathogen
3834,-1574.9943773545892,645.0142851631997,735.10.sbml.csv,Pathogen
3835,-1129.764626588368,2510.164922356246,735.10.sbml.csv,Pathogen
3836,-1594.2514943825254,1482.3343377898475,735.10.sbml.csv,Pathogen
3837,-1145.4247913732997,407.0455466532775,735.10.sbml.csv,Pathogen
3838,-2289.926551127959,1627.8981791379604,735.10.sbml.csv,Pathogen
3839,1087.4482946011099,-1343.2465323400286,735.10.sbml.csv,Pathogen
3840,-2287.16893912032,1410.274212263624,735.10.sbml.csv,Pathogen
3841,-3606.2750255623046,1385.567223340806,735.10.sbml.csv,Pathogen
3842,1438.9697516142148,-2144.4864421695115,735.10.sbml.csv,Pathogen
3843,-2743.353987921496,373.06173777260665,735.10.sbml.csv,Pathogen
3844,-2872.129503228847,1450.7929874608599,735.10.sbml.csv,Pathogen
3845,-1174.683137738226,936.4183299067848,735.10.sbml.csv,Pathogen
3846,-2404.8564624233045,877.1878453635442,735.10.sbml.csv,Pathogen
3847,-435.0418374917582,-1031.063486818579,735.10.sbml.csv,Pathogen
3848,-2445.9483369008713,1748.703613310943,735.10.sbml.csv,Pathogen
3849,-990.1698633387728,1464.9420056453382,735.10.sbml.csv,Pathogen
3850,2469.348114126082,2113.894122705674,2838947.3.sbml.csv,Commensal
3851,3286.309359955428,30.487506519912,2838947.3.sbml.csv,Commensal
3852,3590.175643988622,311.5569998655458,2838947.3.sbml.csv,Commensal
3853,2901.98799556864,1839.6145121501654,2838947.3.sbml.csv,Commensal
3854,1967.762051140578,1163.1338897350038,2838947.3.sbml.csv,Commensal
3855,2212.579834369617,1680.9007954714882,2838947.3.sbml.csv,Commensal
3856,2179.5238642144145,3454.5264682839265,2838947.3.sbml.csv,Commensal
3857,4230.132755360808,469.05076264867336,2838947.3.sbml.csv,Commensal
3858,2404.6089027083854,721.4216388822352,2838947.3.sbml.csv,Commensal
3859,3894.4506244957433,980.0983522305153,2838947.3.sbml.csv,Commensal
3860,4290.64501000818,1946.8417520746302,2838947.3.sbml.csv,Commensal
3861,3456.2167122455558,1229.073080305294,2838947.3.sbml.csv,Commensal
3862,2399.1830646029393,-116.24765239767876,2838947.3.sbml.csv,Commensal
3863,3443.658260030138,784.5797812473674,2838947.3.sbml.csv,Commensal
3864,3027.5976316734623,601.9072409919837,2838947.3.sbml.csv,Commensal
3865,2770.8615031081854,2048.6777268225364,2838947.3.sbml.csv,Commensal
3866,3137.519006115393,1026.2577166636404,2838947.3.sbml.csv,Commensal
3867,3391.8441393489406,714.551193009787,2838947.3.sbml.csv,Commensal
3868,2502.860668202513,838.1702570329592,2838947.3.sbml.csv,Commensal
3869,2454.4896745382234,2312.302378468041,2838947.3.sbml.csv,Commensal
3870,3756.0760956211057,360.0808513296889,2838947.3.sbml.csv,Commensal
3871,2487.806576436863,509.11871623870695,2838947.3.sbml.csv,Commensal
3872,3350.971858538803,1211.53442508065,2838947.3.sbml.csv,Commensal
3873,3085.0245978503,807.8903389660269,2838947.3.sbml.csv,Commensal
3874,2529.9274317937466,2373.2624396051424,2838947.3.sbml.csv,Commensal
3875,2293.481431371518,1035.968209549803,2838947.3.sbml.csv,Commensal
3876,2180.9171427800725,3670.634009105838,2838947.3.sbml.csv,Commensal
3877,3231.4251126227723,-400.9777049429441,2838947.3.sbml.csv,Commensal
3878,2150.2808874379607,2691.4120368404106,2838947.3.sbml.csv,Commensal
3879,3946.4054447818457,234.12270771139703,2838947.3.sbml.csv,Commensal
3880,2289.8553415533797,2542.6309709800053,2838947.3.sbml.csv,Commensal
3881,3597.906697750027,509.096049929882,2838947.3.sbml.csv,Commensal
3882,2856.7727661430163,2601.2783359141667,2838947.3.sbml.csv,Commensal
3883,3584.0426117635557,1482.92179049199,2838947.3.sbml.csv,Commensal
3884,3750.77879700485,1921.5318434388828,2838947.3.sbml.csv,Commensal
3885,2792.746886270291,986.667547666778,2838947.3.sbml.csv,Commensal
3886,3067.2971291389954,1052.4649913091766,2838947.3.sbml.csv,Commensal
3887,3767.176754984021,174.07640571067537,2838947.3.sbml.csv,Commensal
3888,3306.071877084311,414.1900137267723,2838947.3.sbml.csv,Commensal
3889,3747.55251728754,2127.980518433875,2838947.3.sbml.csv,Commensal
3890,2909.178017417025,1297.330124234837,2838947.3.sbml.csv,Commensal
3891,3732.0849540011004,485.8184109575368,2838947.3.sbml.csv,Commensal
3892,2949.218891026973,977.4689420985835,2838947.3.sbml.csv,Commensal
3893,3208.2903390177626,1070.0901205719515,2838947.3.sbml.csv,Commensal
3894,3697.551069958403,-203.1581775913054,2838947.3.sbml.csv,Commensal
3895,2613.394226989161,1504.5618771250797,2838947.3.sbml.csv,Commensal
3896,3085.1668215869477,139.0187006587803,2838947.3.sbml.csv,Commensal
3897,2276.2049836037286,443.15920817460926,2838947.3.sbml.csv,Commensal
3898,3623.589679886489,1960.8429740944791,2838947.3.sbml.csv,Commensal
3899,3877.20092792034,157.27558579568966,2838947.3.sbml.csv,Commensal
3900,-392.9790235903542,-2274.783054467125,227945.7.sbml.csv,Commensal
3901,-3274.279190583915,490.34623028890394,227945.7.sbml.csv,Commensal
3902,-944.5148316209279,-1613.602615063953,227945.7.sbml.csv,Commensal
3903,-521.3116744940662,-2094.537585021896,227945.7.sbml.csv,Commensal
3904,-1919.3915371250616,-1286.4595645978002,227945.7.sbml.csv,Commensal
3905,-2326.426322664856,636.2159879671481,227945.7.sbml.csv,Commensal
3906,-3050.4880323063676,1209.381488772621,227945.7.sbml.csv,Commensal
3907,-2397.950520356433,-188.98787813262055,227945.7.sbml.csv,Commensal
3908,-3945.625946721322,581.8098267877434,227945.7.sbml.csv,Commensal
3909,-639.9961419677448,-1204.6789645471208,227945.7.sbml.csv,Commensal
3910,-2523.960709074916,-57.08995619912975,227945.7.sbml.csv,Commensal
3911,-2664.787684737033,451.6143645385072,227945.7.sbml.csv,Commensal
3912,-1869.2569192612016,-723.435576769976,227945.7.sbml.csv,Commensal
3913,-1939.8983215022226,-479.4218954719239,227945.7.sbml.csv,Commensal
3914,-2944.3796483664273,-249.40241845020864,227945.7.sbml.csv,Commensal
3915,-2975.3968176798244,35.5148811252433,227945.7.sbml.csv,Commensal
3916,-3650.7390624033123,564.4823575629576,227945.7.sbml.csv,Commensal
3917,-2217.4919592919337,255.45714324522328,227945.7.sbml.csv,Commensal
3918,-1389.891867773288,-2208.9224228965063,227945.7.sbml.csv,Commensal
3919,-3390.2950664563004,708.5855566288875,227945.7.sbml.csv,Commensal
3920,-1537.994545222229,-1448.1368387803723,227945.7.sbml.csv,Commensal
3921,-3243.2356525395744,321.3105050476409,227945.7.sbml.csv,Commensal
3922,-2140.590192021587,140.57285377452928,227945.7.sbml.csv,Commensal
3923,-1870.6823526306216,-57.5665907895555,227945.7.sbml.csv,Commensal
3924,-1473.9329728432178,-318.7180611751706,227945.7.sbml.csv,Commensal
3925,-1418.1526739865265,-639.8983713264633,227945.7.sbml.csv,Commensal
3926,-2165.1992025917184,-125.96785244118844,227945.7.sbml.csv,Commensal
3927,-728.4650924239833,-1376.2619580151452,227945.7.sbml.csv,Commensal
3928,-2912.7881509377653,501.8891318992509,227945.7.sbml.csv,Commensal
3929,-2123.1302683498357,-916.7101806161106,227945.7.sbml.csv,Commensal
3930,-1868.2954924455557,-533.853952886302,227945.7.sbml.csv,Commensal
3931,-2349.636577184343,-200.89336931590145,227945.7.sbml.csv,Commensal
3932,-1743.9125693460087,-1121.7209409502434,227945.7.sbml.csv,Commensal
3933,-2805.6900565884166,-154.04047898997862,227945.7.sbml.csv,Commensal
3934,-1060.3763315791584,-1797.0362498386392,227945.7.sbml.csv,Commensal
3935,-3233.869544483847,837.7008665650435,227945.7.sbml.csv,Commensal
3936,-2219.4562515470398,-1362.4210154475804,227945.7.sbml.csv,Commensal
3937,-1406.7231566350185,-581.4860713045939,227945.7.sbml.csv,Commensal
3938,-2963.699169735978,30.59661033095824,227945.7.sbml.csv,Commensal
